Sr. No.,Terminology / Document,Defination,Who creates / sends it (If any),Who recevies it (If Any),Purpose,"If not available, whats the issue?"
1,Commercial Invoice,"A detailed bill from the seller to the buyer, listing goods, value, and payment terms.",Seller/Shipper/Exporter,"Buyer/Consignee/
Importer",Used by customs to assess duties and taxes,Shipment is blocked at customs; fines for under-declaration; delays in seller payment.
2,Packing List,"An itemized list of products, including weights, dimensions, and quantities.",Seller/Shipper/Exporter,Customs Authorities,Determines tariff treatment and eligibility for duty benefits under trade agreements.,"Cargo could be blocked by customs; detention, and demurrages will be applied"
3,Certificate of Origin,Document certifying the country in which the goods were manufactured or produced.,Seller/Shipper/Exporter / Chamber of Commerce,Importer / Customs at Destination,Eligibility for Duty Free Concessions / FTA Benefits,"Cargo does not enter the destination country, or higher trade import duties; trade benefit denied"
4,Export Declaration,Statutory declaration of export cargo details/value.,Exxporter/CHA (Customs Broker),Customs Authorities,Government Export Permission,Goods cannot leave the country
5,Cargo Booking Confirmation,Confirmation from shipping line or forwarder that space has been allocated on a specific vessel for the cargo.,Freight Forwarder / Shipping Line,Exporter / Shipper,Space Reservation on Vessel,Shipment delayed
6,Bill of Lading (B/L),A legal contract between shipper and carrier acknowledging receipt of cargo for shipment. Acts as a title document.,Shipping Line/ Carrier,"Buyer/Consignee/
Importer",Title of Goods; Proof of Shipment,Cargo cannot be released at deatination
7,Letter of Credit (L/C),A bank guarantee issued by the importer's bank assuring payment to the exporter upon meeting stated conditions.,Importer's Bank,Expoter's Bank,Payment security for exporter,Payment Risk / Fraud
8,Insurance Certificate,Document evidencing that cargo is insured against loss or damage during transit.,Seller/Shipper/Exporter,"Buyer/Consignee/
Importer",Risk Coverage During Shipment,No claim possible if cargo is damaged/ lost
9,Fumigation Certificate,Proof that wooden packaging or cargo has been fumigated to prevent pest infestation per ISPM-15 standards.,Fumigation Agency,Importer / Customs at Destination,Pest control compliance for wood packaging,Shipment refused or fumigated at cost at destination
10,Dangerous Goods Declaration (DGD),"Mandatory document for shipments containing hazardous materials, detailing classification, packaging, and handling.",Exporter/ Freight Forwarder,"Shipping Line, Port Authority, Customs Authorities",Safe handling & regulatory compliance,Shipment refused; legal liability for exporter
11,Phytosanitary / Health Certificate,"Issued by government authority confirming goods (agri, food) are free from pests and meet importing country's standards.","Govt. Authority (e.g., APEDA, FSSAI)","Importer, Customs at destination",Compliance with sanitary regulations,Consignment rejected or destroyed at port
12,Shipping Instruction,"A formal document providing specific details on how a shipment should be handled, billed, and transported.",Seller/Shipper/Exporter,Freight Forwarder or Carrier,To provide the data needed to issue the Bill of Lading and file customs declarations.,Shipment delayed
13,Proforma Invoice,Preliminary commercial quote before order confirmation.,Exporter,Buyer / Bank,Buyer approval / LC initiation,Purchase delays
14,Sales Contract,"Agreed contract covering quantity, price, specs, shipment terms.",Buyer & Seller,Both parties / Bank,Commercial governance,Legal/payment disputes
15,Puchase Order (P/O),Formal order placed by buyer.,Importer / Buyer,Exporter,Order execution reference,Quantity/specification disputes
16,Certificate of Analysis (COA),Confirms product quality/specifications through test results.,Manufacturer,Buyer / Customs,Quality compliance,Shipment Rejection
17,Beneficiary Certificate,Declaration required under LC confirming terms fulfilled.,Exporter,Bank,LC Documentation Compliance,Payment delay / discrepancy
18,Shipping Bill,Export customs declaration permitting shipment from origin country.,CHA / Exporter,Customs / Port,Export clearance,Cargo cannot export
19,LUT (Letter of Undertaking),Undertaking to export without IGST payment under applicable rules.,Exporter,Tax / Customs Authorities,Tax-efficient export process,Working capital blockage
20,Drawback Declaration,Claim filing for eligible duty drawback incentives.,Exporter / CHA,Customs,Incentive recovery,Refund loss
21,Export License,Mandatory approval for restricted goods export.,Govt Authority,Exporter / Customs,Legal export permission,Cargo seizure / fines
22,AD Code Registration,Authorized dealer bank code linked for export proceeds realization.,Exporter Bank,Customs,Export remittance tracking,Shipping bill filing blocked
23,GST LUT Acknowledgement,Proof of LUT acceptance.,Tax Authority,Exporter,Audit support,Tax disputes
24,"SCOMET (Special Chemicals, Organisms, Materials, Equipment, and Technologies) License",Export license for dual-use / controlled items.,DGFT / Govt Authority,Exporter / Customs,Strategic goods compliance,Severe legal penalty
25,Bill of Entry,Primary import customs clearance declaration.,CHA / Importer,Customs,Import assessment and release,Cargo stuck at port
26,Duty Payment Challan,Evidence of customs duty/tax payment.,Importer,Customs,Final release processing,Release delay
27,Import License,Mandatory authorization for restricted imports.,Govt Authority,Importer / Customs,Legal importation,Seizure / penalties
28,ADC / NOC (Assistant Drug Controller No-Objection Certificate),Additional departmental clearance / no objection certificate.,Regulatory Agency,Customs / Importer,Product-specific approvals,Cargo hold
29,Examination Order,Customs instruction for physical inspection.,Customs,Terminal / CHA,Risk verification,Clearance delay
30,Out of Charge Order,Final customs release authorization after assessment.,Customs,Importer / Terminal,Cargo release,Cargo cannot move
31,Express Release B/L,Non-original release arrangement allowing faster delivery.,Carrier,Consignee,Quick cargo release,Misdelivery risk if data incorrect
32,Sea Waybill,Non-negotiable transport document without title transfer function.,Carrier,Consignee,Faster direct release,Release to wrong party risk
33,House Bill of Lading (HBL),B/L issued by freight forwarder/NVOCC to customer.,Forwarder / NVOCC,Shipper / Consignee,"Consolidated shipment
management",Ownership disputes
34,Master Bill of Lading (MBL),Main B/L issued by shipping line to forwarder.,Carrier,Forwarder,Ocean carriage contract,Release mismatch
35,Switch Bill of Lading,Replacement B/L issued to alter commercial details legally.,Carrier / Agent,Trader / Shipper,Triangular trade confidentiality,Fraud/compliance risk
36,Telex Release,Electronic instruction permitting release without originals.,Carrier,Destination Agent,Faster documentation flow,Cargo hold if not processed
37,Surrender Request,Request to surrender originals at origin for telex release.,Shipper,Carrier,Convert to paperless release,Delay in destination release
38,Arrival Notice,Notice informing cargo ETA and charges payable.,Carrier / Agent,Consignee,Import planning and clearance,Storage / demurrage charges
39,Delivery Order (DO),Authorization to terminal/CFS to release cargo.,Carrier / Agent,Importer / CHA,Cargo pickup,Cargo will not be released
40,Freight Invoice,Invoice for ocean freight and related charges.,Carrier / Forwarder,Customer,Revenue collection,Cargo held for non-payment
41,Debit Note,Additional charges claimed post billing.,Carrier / Vendor,Customer,Cost recovery,Payment disputes
42,Credit Note,Adjustment/refund against excess billing.,Carrier / Vendor,Customer,Financial reconciliation,Ledger mismatch
43,Vessel Schedule,Published sailing schedule with ETD/ETA.,Carrier,Customers,Supply chain planning,Missed connections
44,Voyage Number,Unique sailing reference for vessel trip.,Carrier,All parties,Shipment tracking,Documentation confusion
45,Mate’s Receipt,Receipt confirming cargo loaded onboard.,Vessel Officer,Shipper,Basis for final B/L issuance,B/L delay
46,Stowage Plan,Vessel loading plan showing cargo/container positions.,Carrier / Vessel Planner,Terminal / Ops,Safe loading sequence,Misload / operational risk
47,Manifest,Consolidated cargo list onboard vessel.,Carrier,Customs / Port,Regulatory filing,Clearance blocked
48,Import General Manifest (IGM),Advance filing of import cargo details before arrival.,Carrier / Agent,Customs,Import processing,BOE filing blocked
49,Export General Manifest (EGM),Final export cargo filing after vessel departure.,Carrier / Agent,Customs,Export proof / incentive closure,Refund claims delayed
50,Notice of Readiness (NOR),Notice vessel ready for loading/unloading.,Carrier / Master,Charterer / Port,Laytime commencement,Disputes on delays
51,Statement of Facts,Chronological record of port activities/events.,Agent / Master,Charterer / Owner,Demurrage/claims evidence,Billing disputes
52,Container Release Order,Authorization to collect empty container.,Carrier,Exporter / Transporter,Export stuffing preparation,Shipment delay
53,"Equipment Interchange Receipt
(EIR)",Record of container handover condition/status.,Depot / Terminal,Transporter / Carrier,Damage accountability,Damage disputes
54,Verified Gross Mass (VGM),Certified total loaded container weight under SOLAS.,Shipper,Carrier / Terminal,Safe vessel loading,Container denied loading
55,Stuffing Report,Record of cargo loaded into container incl. seal no.,Warehouse / Surveyor,Exporter / Buyer,Packing verification,Quantity disputes
56,Container Load Plan,Layout of cargo placement inside container.,Exporter / Warehouse,Ops Team,Weight balance / cargo safety,Cargo damage risk
57,Seal Verification Record,Confirmation of container seal integrity/number.,Warehouse / Terminal,Carrier / Customs,Security control,Tampering suspicion
58,Terminal Handling Charges (THC),Charges for handling container at terminal (loading/unloading).,Terminal / Carrier,Shipper / Consignee,Covers port handling operations,Cargo not processed
59,Destination THC (DTHC),Handling charges applicable at destination port.,Carrier / Terminal,Importer,Import-side operations cost,Cargo hold
60,Wharfage,Fee charged for cargo passing through port.,Port Authority,Importer / Exporter,Port usage fee,Cargo movement blocked
61,Port Dues,Charges levied on vessel for using port facilities.,Port Authority,Carrier,Port revenue recovery,Vessel clearance delay
62,Berth Hire Charges,Charges for occupying berth space.,Port Authority,Carrier,Vessel docking cost,Increased port cost
63,Stevedoring Charges,Cost for loading/unloading cargo from vessel.,Stevedore Company,Carrier / Shipper,Cargo handling,Operational delays
64,CFS Charges,Charges for handling cargo at Container Freight Station.,CFS Operator,Importer / Exporter,Storage & handling,Cargo hold
65,Ground Rent,Charges for cargo staying in port/CFS beyond free time.,Port / CFS,Importer,Storage cost recovery,Increased expenses
66,Lift On / Lift Off (LOLO),Charges for lifting container on/off truck/vessel.,Terminal,Carrier / Customer,Equipment movement,Operational delay
67,Gate Charges,Fees for entry/exit of trucks at terminal.,Terminal,Transporter,Terminal access,Movement delay
68,Basic Ocean Freight,Base cost of transporting cargo by sea.,Carrier / Forwarder,Customer,Core freight pricing,Booking cancellation
69,Bunker Adjustment Factor (BAF),Fuel surcharge adjusted based on oil price fluctuations.,Carrier,Customer,Cost recovery for fuel,Pricing mismatch
70,Currency Adjustment Factor (CAF),Surcharge due to currency exchange fluctuations.,Carrier,Customer,Hedge forex risk,Financial loss
71,Peak Season Surcharge (PSS),Extra charge during high demand periods.,Carrier,Customer,Demand-based pricing,Higher logistics cost
72,General Rate Increase (GRI),Carrier-announced freight rate increase.,Carrier,Customer,Rate revision,Budget mismatch
73,Congestion Surcharge,Applied when port congestion increases turnaround time.,Carrier,Customer,Delay cost recovery,Increased cost
74,War Risk Surcharge,Extra charge for shipping through high-risk zones.,Carrier,Customer,Risk coverage,Insurance exposure
75,Low Sulphur Surcharge (LSS),Charge for compliant low-sulphur fuel usage.,Carrier,Customer,Environmental compliance,Regulatory penalty
76,Documentation Charges,Fees for preparing shipping documents.,Carrier / Forwarder,Customer,Admin cost recovery,Process delay
77,Amendment Charges,Charges for modifying shipment documents.,Carrier,Customer,Data correction,Incorrect documentation
78,Free Time,Allowed days before demurrage/detention applies.,Carrier,Customer,Cost control,Extra charges
79,Demurrage,Charges for container staying at port beyond free time.,Carrier,Importer,Equipment utilization,Cost escalation
80,Detention,Charges for container held outside terminal beyond free days.,Carrier,Customer,Container cycle control,Increased cost
81,Rollover,Cargo shifted to next vessel due to space/operational issues.,Carrier,Shipper,Schedule adjustment,Delivery delay
82,Blank Sailing,Cancellation of scheduled vessel sailing.,Carrier,Customer,Network adjustment,Supply chain disruption
83,Transshipment,Cargo transferred via intermediate port before destination.,Carrier,Customer,Route optimization,Delay risk
84,Cut-off Time,Deadline for documentation or cargo gate-in.,Carrier / Terminal,Shipper,Shipment planning,Cargo miss
85,No-Show Fee,Penalty for not utilizing confirmed booking.,Carrier,Shipper,Capacity management,Financial penalty
86,Dead Freight,Charges for booked but unused cargo space.,Carrier,Shipper,Revenue protection,Financial loss
87,Storage Charges,Fees for storing cargo at terminal/warehouse.,Terminal / CFS,Customer,Space utilization,Cost escalation
88,MAWB (Master Air Waybill),"The main contract of carriage
issued by the airline.","Main Carrier
(Airline)","Freight Forwarder
/ Agent","Evidence of contract and
receipt of goods.","Goods cannot be loaded or tracked
officially."
89,HAWB (House Air Waybill),"A document issued by a
forwarder for a specific shipment.",Freight Forwarder,"Actual Shipper /
Consignee","Relates the shipment to the
specific customer.","Breakdown of consolidated cargo is
impossible."
90,Commercial Invoice,"The primary document used by
customs to determine value.",Shipper (Seller),"Consignee (Buyer)/
Customs","Used for tax/duty
assessment and payment.","Shipment held by customs; potential
fines."
91,Packing List,"A detailed list showing the
contents and weight of each
package.",Shipper,Consignee / Carrier,"Helps in identifying items
during inspection.","Delays in unloading and higher risk
of lost items."
92,ULD (Unit Load Device),"A pallet or container used to load
luggage/freight on aircraft.","Airline / Ground
Handler",Ground Handler,"Ensures safe, standardized
loading in the plane.","Manual loading required; high risk of
damage."
93,Certificate of Origin (C/O),"A document certifying the country
where goods were made.","Chamber of
Commerce / Shipper","Customs
Authorities","Determines eligibility for
trade deals/tariffs.",Higher taxes applied or entry refused.
94,"IATA (International Air
Transport Assoc.)","The trade association for the
world’s airlines.","N/A (Regulatory
Body)","Industry
Stakeholders","Sets global standards for
safety and pricing.",Lack of industry standardization.
95,"Dangerous Goods
Declaration (DGD)","Form certifying that hazardous
materials are packed correctly.","Shipper / Specialist
Packer",Airline / Captain,"Ensures safety of the
aircraft and crew.","Shipment rejected; legal penalties for
shipper."
96,Dimensional Weight,"A pricing technique using volume
instead of actual weight.","Freight Forwarder
/ Airline",Shipper,"Ensures carriers are paid for
space occupied.",Incorrect billing and unexpected costs.
97,Customs Entry (Form 7501),"A formal statement of goods
entering a country.",Customs Broker,Customs Authority,"To clear goods through the
border legally.","Goods seized or stuck in bonded
warehouse."
98,Letter of Credit (L/C),"A bank guarantee that payment
will be made to the seller.",Buyer's Bank,"Seller (via Seller's
Bank)","Minimizes financial risk for
the exporter.",Seller may refuse to ship the goods.
99,Air Cargo Manifest,"A list of all cargo on a specific
flight.","Airline / Ground
Handler","Customs / Airport
Authority","Summary for security and
logistical planning.","Plane cannot be cleared for take-off or
landing."
100,Proof of Delivery (POD),"A document signed by the
receiver confirming arrival.",Consignee,Carrier / Forwarder,"Confirms the shipment
reached its destination.","Impossible to settle claims or prove
fulfillment."
101,Freight Collect,"A payment term where the
receiver pays shipping costs.",Shipper / Forwarder,Consignee,"Shifts the financial burden to
the buyer.",Carrier will not release cargo until paid.
102,FOB (Free On Board),"An Incoterm where the seller pays
until the airport of origin.","International
Chamber of
Commerce",Shipper / Buyer,"Defines the point where risk
transfers.","Disputes over who pays for local
transport."
103,"ETD (Estimated Time
of Departure)","The projected time the aircraft will
leave.",Airline / Forwarder,"Shipper
/ Consignee","Used for supply chain
planning.","Inability to coordinate pickup or
production."
104,Chargeable Weight,"The higher value between actual
and dimensional weight.",Airline / Forwarder,Shipper,"The weight used to calculate
the freight rate.",Financial loss for the carrier or shipper.
105,Known Shipper,"A status given to shippers who
have passed security audits.","TSA / Regulatory
Body",Freight Forwarder,"Allows goods to move on
passenger aircraft.","Cargo restricted to ""freighter-only""
planes (slower)."
106,Booking Confirmation,"A document confirming space is
reserved on a flight.",Airline / Forwarder,Shipper,"Guarantees the schedule for
the shipment.","Goods sit in the warehouse with
no transit."
107,Export License,"Government permit required to
export certain goods.",Government Agency,Shipper / Customs,"Controls the flow of
restricted/sensitive goods.",Illegal export; heavy fines and jail time.
108,"e-AWB (Electronic
Air Waybill)","The digital version of the
traditional paper Air Waybill.",Freight Forwarder,Airline,"To streamline data entry and
reduce paper waste.","Slower processing and potential ""paper
surcharge"" fees."
109,Arrival Notice,"A notification that the shipment
has reached its destination.","Carrier /
Destination Agent","Consignee /
Notify Party","Alerts the buyer to arrange
for pickup and clearance.","Storage (demurrage) fees
start to accrue."
110,Carnet (ATA Carnet),"A ""merchandise passport"" for
temporary imports/exports.","Chamber of
Commerce","Customs
Authorities","Allows duty-free temporary
import (e.g., trade shows).",Importer must pay full duties and taxes.
111,Bonded Warehouse,"A secured facility where goods
are stored before duties are paid.","Warehouse
Operator","Customs /
Consignee","Allows storage without
immediate tax payment.","Immediate tax payment required
upon arrival."
112,CBM (Cubic Meter),"A standard unit of measurement
for cargo volume.",Shipper / Forwarder,Airline / Forwarder,"Used to calculate the
dimensional weight.","Incorrect freight charges and
space booking."
113,Drayage,"Short-distance trucking (e.g.,
from airport to warehouse).",Trucking Company,Forwarder / Shipper,"Connects the air leg to the
final ground destination.",Cargo stays stuck at the airport terminal.
114,Screening Certificate,"Proof that cargo has been
scanned for explosives/threats.","TSA / Regulated
Agent",Airline,"Ensures the aircraft is safe
from sabotage.",Cargo is rejected and cannot be loaded.
115,Back-to-Back Shipment,"A single shipment covered by one
MAWB and one HAWB.",Freight Forwarder,Airline / Consignee,"Used for urgent, non-
consolidated direct moves.","Loss of individual shipment tracking
and control."
116,All-In Rate,"A freight quote that includes all
surcharges (fuel, security).",Forwarder / Airline,Shipper,"Provides a transparent,
final cost for shipping.","Unexpected ""hidden"" fees on the
final invoice."
117,FSC (Fuel Surcharge),"An extra fee to cover fluctuating
jet fuel prices.",Airline,Shipper / Forwarder,"Protects carriers from
volatile energy markets.","Carrier loses money on the flight
operation."
118,Delivery Order (D/O),"A document releasing cargo to a
specific trucker.",Consignee / Agent,"Ground Handler /
Terminal","Authorizes the physical
release of the cargo.","Warehouse will not release goods to
the driver."
119,Phytosanitary Certificate,"Document certifying plants/food
are free from pests.",Agriculture Dept.,"Customs /
Consignee","Prevents the spread of
invasive species/diseases.","Goods are confiscated and destroyed
by customs."
120,"SLI (Shipper’s Letter of
Instruction)","A letter providing specific
instructions to the forwarder.",Shipper,Freight Forwarder,"Acts as a ""to-do"" list for
handling the cargo.","Errors in documentation or wrong
shipping mode."
121,GHA (Ground Handling Agent),"The company that loads/unloads
the plane at the airport.",N/A,Airline,"Physical movement of cargo
on the tarmac.","Planes cannot be serviced;
logistics halt."
122,Consolidation,"Combining multiple small
shipments into one ULD.",Freight Forwarder,Airline,"To get better freight rates
through bulk volume.","Higher costs for shipping small
individual boxes."
123,"MSDS
(Material Safety Data Sheet)","A document detailing chemical
properties and risks.",Manufacturer,Forwarder / Airline,"Informs handlers how to
manage spills or fire.","Refusal to transport by the airline for
safety."
124,Weight & Balance Manifest,"A report calculating the center of
gravity for the plane.",Pilot / Ground Crew,Airline Operations,"Crucial for the aerodynamic
safety of the flight.","High risk of aircraft crash or fuel
inefficiency."
125,IATA Code,"A 3-letter code for airports
(e.g., JFK, LHR, DXB).",IATA,Industry-wide,"Standardizes destination
and origin identification.","Misrouting of cargo to the wrong
city/country."
126,Insurance Certificate,"Proof that the cargo is covered
against loss or damage.",Insurance Company,"Shipper /
Consignee","Provides financial protection
during transit.","Total financial loss if the plane crashes
or leaks."
127,Tally Sheet,"A checklist used during the 
loading/unloading process.",Warehouse Staff,Forwarder / Shipper,"Verifies the actual piece 
count against documents.","Discrepancies in inventory and 
""missing"" boxes."
128,"TSA (Transportation 
Security Admin)","U.S. agency overseeing civil
aviation security.",Regulatory Body,All Industry Players,"Sets the rules for what can 
fly and how.",Security breaches and grounded flights.
129,Transshipment,"Unloading goods from one aircraft
and loading into another.",Carrier / GHA,Freight Forwarder,"To reach destinations not
served by direct flights.","Shipment stuck at the hub/intermediate
port."
130,Bonded Carrier,"A carrier licensed to move goods
that haven't cleared customs.",Trucking Co / Airline,Customs Authorities,"Allows goods to move to
inland ports for clearance.","Goods must be cleared at the first
point of entry."
131,"Commercial Invoice &
Packing List (CIPL)","A combined document for value
and content details.",Shipper,"Customs /
Consignee","Streamlines paperwork for
small shipments.","Documentation delays; customs may
demand separate forms."
132,Demurrage,A fee charged for cargo staying too long at the terminal.,Airline / Terminal,Forwarder / Consignee,Encourages fast pickup to prevent airport congestion.,"High storage costs and potential ""abandoned"" status."
133,Intermodal,"Moving freight using two or more modes (e.g., Truck + Air).",Forwarder,Shipper / Consignee,Combines the speed of air with the reach of road.,Logistical gaps; cargo stranded between modes.
134,NVD (No Value Declared),A notation on an AWB when no insurance value is stated.,Shipper / Forwarder,Airline,Limits carrier liability to standard IATA rates.,Minimal payout if goods are lost or damaged.
135,Part Charter,Renting a portion of a dedicated freighter aircraft.,Charter Broker,Shipper,Moves oversized or high-volume cargo efficiently.,High costs of shipping via standard commercial slots.
136,RCS (Received from Shipper),An electronic status code indicating cargo is with the airline.,Airline,Forwarder,Confirms the carrier has physical possession.,No proof that the airline ever took the goods.
137,SSP (Shipper's Security Program),A set of security protocols for high-volume shippers.,Shipper,TSA / Government,Pre-approves cargo to speed up screening.,100% manual screening required (slow/expensive).
138,Tare Weight,The weight of an empty ULD or container.,Manufacturer / Carrier,Ground Handler,Used to calculate the actual net weight of cargo.,Inaccurate weight calculations and fuel planning.
139,Temperature Log,A record from a device tracking the cargo's temperature.,Shipper (via Datalogger),Consignee / Pharma,"Proves the ""cold chain"" was never broken.",Goods (like vaccines) may be deemed unsafe/spoiled.
140,Valuable Cargo (VAL),"High-value items (gold, jewelry) requiring extra security.",Shipper,Airline / Security,Triggers special storage and armed escort protocols.,High risk of theft or refusal to carry by the airline.
141,Vulnerable Cargo (VUN),"Goods that are not ""Valuable"" but are prone to theft (e.g., iPhones).",Forwarder / Shipper,Airline / GHA,"Alerts handlers to keep goods in ""cages"" or safe zones.",High shrinkage (theft) rates during transit.
142,WPM (Wood Packaging Material),Wooden pallets/crates used to hold air cargo.,Shipper / Crating Co.,Customs / Agriculture,Subject to ISPM-15 heat treatment rules.,Goods rejected or quarantined due to pest risk.
143,Cartage,The act of moving goods within a small radius (town/city).,Local Trucker,Forwarder / Shipper,Transfers cargo from the forwarder's dock to the airport.,Cargo cannot reach the airport for the flight.
144,IATA Dangerous Goods Regs (DGR),"The ""Bible"" for shipping chemicals and hazards by air.",IATA,Industry-wide,Global standard for what is safe to fly.,Confusion on packing leads to flight safety risks.
145,Neutral Air Waybill,A standard AWB form without a pre-printed airline name.,Forwarder,Airline,Allows forwarders to print any airline’s info on it.,Manual typing errors or stock shortages.
146,Section II Lithium Batteries,A specific classification for shipping small batteries.,Shipper,Airline / Pilot,Dictates labeling and quantity limits for fire safety.,Potential for cargo fires; heavy fines for mislabeling.
147,Gateway,A major hub airport where regional cargo is consolidated.,N/A (Infrastructure),Logistics Providers,Acts as a central point for international departures.,Inefficient routing and higher costs via smaller airports.
148,Advisory Label,"Labels indicating special handling (e.g., ""Fragile"" or ""This Side Up"").",Shipper,Ground Handlers,Instructs staff on how to physically move the cargo.,Higher risk of physical damage to the goods.
149,Airport-to-Airport (ATA),A service level where the carrier only moves goods between airports.,Airline / Forwarder,Shipper,Defines the scope of the transport contract.,"Confusion over who handles the ""last mile"" delivery."
150,Bonded Area,A customs-controlled area for non-cleared goods.,Airport Authority,Carriers / Forwarders,Allows cargo to stay in transit without paying local tax.,Goods must be cleared immediately or face seizure.
151,Cargo IMP,Standardized messaging for air cargo electronic data.,IATA / IT Systems,Airlines / Forwarders,"Ensures different computer systems can ""talk"" to each other.",Data errors and manual entry delays.
152,Chargeable Weight,The weight used for billing (higher of Actual vs. Volumetric).,Airline / Forwarder,Shipper,Determines the final cost based on space and mass.,Billing disputes and loss of revenue for carriers.
153,Consignment Note,A general term for a document accompanying a shipment.,Shipper / Carrier,Receiver,Acts as a record of the transaction and contents.,No paper trail for the physical movement of goods.
154,De-consolidation,Breaking down a bulk shipment into individual orders.,Destination Agent,Consignees,To sort and deliver items to multiple end-buyers.,Individual customers cannot receive their specific orders.
155,Duty Drawback,A refund on duties paid for goods that are later exported.,Customs Authority,Exporter / Shipper,Encourages trade by reducing tax on re-exported items.,Financial loss for the company; higher cost of goods.
156,Express Freight,High-priority cargo moving on the first available flight.,Airline / Integrator,Shipper,Guarantees the fastest possible transit time.,Shipments may be delayed by 2–5 days.
157,Freight All Kinds (FAK),A flat rate regardless of the specific commodity.,Carrier / Forwarder,Shipper,Simplifies pricing for mixed cargo loads.,"Complex, individual pricing for every small item."
158,GCR (General Cargo Rate),The standard price for cargo that isn't specialized.,Airline,Forwarder / Shipper,Sets a baseline for market shipping costs.,Inconsistent pricing across the industry.
159,Heavy Lift,Cargo that exceeds standard ULD weight limits.,Specialized Carrier,Shipper,Requires special cranes or nose-loading aircraft.,Goods cannot be loaded onto standard planes.
160,Intermediate Consignee,A party that handles the goods before the final buyer.,Shipper,Bank / Agent,Often used in complex financial or routing setups.,Legal confusion over ownership during transit.
161,Known Cargo,Cargo from a trusted source that requires less screening.,TSA / Forwarder,Airline,Speeds up the boarding process for freight.,"Cargo is subjected to lengthy, expensive screening."
162,Logistics Hub,A central point for sorting and distributing air cargo.,Airport / Govt,Global Industry,Maximizes efficiency by centralizing routes.,Fragmented shipping routes and higher costs.
163,NOTOC (Notice to Captain),A list of dangerous goods on board for the pilot.,Ground Handler,Aircraft Pilot,Informs the pilot of risks in case of an emergency.,Pilot cannot react correctly to a fire or leak.
